127.0.0.1 - - [27/May/2020:18:22:08 +0900] "GET / HTTP/1.1" 200 2267
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:10 +0900] "GET /book/list HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:11 +0900] "GET /book/list.jsp HTTP/1.1" 200 6920
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:11 +0900] "GET /home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:11 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:12 +0900] "GET /book/list.json?key=code&word=&page=1&perPage=10&order=code&desc= HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:14 +0900] "GET /index.jsp HTTP/1.1" 200 2267
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:14 +0900] "GET /book/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:14 +0900] "GET /book/insert.jsp HTTP/1.1" 200 3541
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:14 +0900] "GET /book/list HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:14 +0900] "GET /book/list.jsp HTTP/1.1" 200 6920
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:14 +0900] "GET /book/list.json?key=code&word=&page=1&perPage=10&order=code&desc= HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:15 +0900] "GET /book/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:15 +0900] "GET /book/cart.jsp HTTP/1.1" 200 2804
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:15 +0900] "GET /bbs/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:15 +0900] "GET /bbs/insert.jsp HTTP/1.1" 200 3023
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:16 +0900] "GET /bbs/list HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:16 +0900] "GET /bbs/list.jsp HTTP/1.1" 200 6314
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:16 +0900] "GET /bbs/list.json?key=title&word=&page=1&perPage=5&order=seqno&desc=desc HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:16 +0900] "GET /user/list HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:16 +0900] "GET /user/list.jsp HTTP/1.1" 200 6222
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:16 +0900] "GET /user/list.json?key=name&word=&page=1&perPage=10&order=name&desc= HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:17 +0900] "GET /user/list.jsp HTTP/1.1" 200 6222
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:17 +0900] "GET /user/list.json?key=name&word=&page=1&perPage=10&order=name&desc= HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:17 +0900] "GET /user/list.jsp HTTP/1.1" 200 6222
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:18 +0900] "GET /user/list.json?key=name&word=&page=1&perPage=10&order=name&desc= HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:18 +0900] "GET /user/list HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:18 +0900] "GET /user/list.jsp HTTP/1.1" 200 6222
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:18 +0900] "GET /user/list.json?key=name&word=&page=1&perPage=10&order=name&desc= HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:18 +0900] "GET /bbs/list HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:18 +0900] "GET /bbs/list.jsp HTTP/1.1" 200 6314
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:19 +0900] "GET /bbs/list.json?key=title&word=&page=1&perPage=5&order=seqno&desc=desc HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:19 +0900] "GET /bbs/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:19 +0900] "GET /bbs/insert.jsp HTTP/1.1" 200 3023
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:19 +0900] "GET /book/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:19 +0900] "GET /book/cart.jsp HTTP/1.1" 200 2804
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:20 +0900] "GET /book/list HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:20 +0900] "GET /book/list.jsp HTTP/1.1" 200 6920
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:20 +0900] "GET /book/list.json?key=code&word=&page=1&perPage=10&order=code&desc= HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:20 +0900] "GET /book/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:20 +0900] "GET /book/insert.jsp HTTP/1.1" 200 3541
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:20 +0900] "GET /index.jsp HTTP/1.1" 200 2267
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:21 +0900] "GET /book/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:21 +0900] "GET /book/insert.jsp HTTP/1.1" 200 3541
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:21 +0900] "GET /book/list HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:21 +0900] "GET /book/list.jsp HTTP/1.1" 200 6920
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:21 +0900] "GET /book/list.json?key=code&word=&page=1&perPage=10&order=code&desc= HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [27/May/2020:18:22:22 +0900] "GET /book/cart HTTP/1.1" 302 -
