127.0.0.1 - - [24/Jun/2020:14:57:07 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:57:08 +0900] "GET /semiProject/index.jsp HTTP/1.1" 200 5789
0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:57:08 +0900] "GET /semiProject/home.css HTTP/1.1" 200 5878
0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:57:08 +0900] "GET /semiProject/images/tfs_logo.JPG HTTP/1.1" 200 9522
0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:57:08 +0900] "GET /semiProject/images/mainbanner.jpg HTTP/1.1" 200 140889
0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:57:08 +0900] "GET /semiProject/images/night.jpg HTTP/1.1" 200 118971
0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:57:08 +0900] "GET /semiProject/images/fresh.jpg HTTP/1.1" 200 314326
0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:57:08 +0900] "GET /semiProject/images/sideBanner.jpg HTTP/1.1" 200 70913
0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:57:08 +0900] "GET /semiProject/images/yagan.jpg HTTP/1.1" 200 182473
0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:57:08 +0900] "GET /semiProject/images/leftbro.jpg HTTP/1.1" 200 147738
0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:57:08 +0900] "GET /semiProject/images/rightsis.jpg HTTP/1.1" 200 131608
0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:57:08 +0900] "GET /semiProject/images/login1.jpg HTTP/1.1" 200 17551
0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:57:08 +0900] "GET /semiProject/images/ceosay.jpg HTTP/1.1" 200 15655
0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:57:08 +0900] "GET /semiProject/images/login2.jpg HTTP/1.1" 200 15947
0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:57:08 +0900] "GET /semiProject/images/newdel.jpg HTTP/1.1" 200 17543
0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:57:08 +0900] "GET /semiProject/images/log1.jpg HTTP/1.1" 200 19525
0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:57:08 +0900] "GET /semiProject/images/log2.jpg HTTP/1.1" 200 19613
0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:57:08 +0900] "GET /semiProject/images/footerImage.jpg HTTP/1.1" 200 65698
0:0:0:0:0:0:0:1 - - [24/Jun/2020:14:57:08 +0900] "GET /semiProject/images/del.jpg HTTP/1.1" 200 22487
